"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5795","should login with valid credentials","","Mon Jan 06 18:57:58 IST 2025","passed","Mon Jan 06 18:58:04 IST 2025","","My Login application","",""
"","4139","My First Test","","Tue Jan 07 11:29:26 IST 2025","passed","Tue Jan 07 11:29:30 IST 2025","","Demo Tests","",""
"","5851","should login with valid credentials","","Mon Jan 06 18:57:57 IST 2025","passed","Mon Jan 06 18:58:03 IST 2025","","My Login application","",""
"","3926","My First Test","","Tue Jan 07 11:29:26 IST 2025","passed","Tue Jan 07 11:29:30 IST 2025","","Demo Tests","",""
